index,description
39.06.01.,"Trocken-warme Ruderalstandorte auf Sand-, Kies- und Schotterboden"
39.06.01.01.,"Trocken-warmer Ruderalstandort auf Sand-, Kies- und Schotterboden mit lückiger Vegetation"
39.06.01.02.,"Trocken-warmer Ruderalstandort auf Sand-, Kies- und Schotterboden mit dichter, meist ausdauernder Vegetation"
39.06.02.,Trocken-warme Ruderalstandorte auf bindigem Boden
39.06.02.01.,Trocken-warmer Ruderalstandort auf bindigem Boden mit lückiger Vegetation
39.06.02.02.,"Trocken-warmer Ruderalstandort auf bindigem Boden mit dichter, meist ausdauernder Vegetation"
39.06.03.,Frische bis nasse Ruderalstandorte
39.06.03.01.,Frischer bis nasser Ruderalstandort mit lückiger Vegetation
39.06.03.02.,"Frischer bis nasser Ruderalstandort mit dichter, meist ausdauernder Vegetation"
39.07.,Artenarme Dominanzbestände von Poly-Kormonbildnern (z.B von Adlerfarn oder Landreitgras)
39.07.01.,"Artenarmer, gehölzfreier Adlerfarn-Dominanzbestand"
39.07.02.,"Artenarmer, gehölzfreier Reitgras-Dominanzbestand"
39.07.03.,"Sonstiger artenarmer, gehölzfreier Dominanzbestand von Poly-Kormonbildnern"
39.07.04.,Artenarme Dominanzbestände von Poly-Kormonbildnern mit aufkommender Gehölz-Sukzession
40.,Zwergstrauchheiden
40.01.,Felsbandheide
40.02.,Moor- oder Sumpfheiden
40.02.01.,"Moor- oder Sumpfheide, weitgehend intakt"
40.02.02.,"Moor- oder Sumpfheide, degeneriert mit Grasdominanz (z.B mit Molinia caerulea)"
40.02.03.,"Moor- oder Sumpfheide, degeneriert mit Gehölzaufkommen (Birke, Faulbaum)"
40.03.,Heiden auf sandigen oder Silikat-Böden (Calluna-Heiden)
40.03.01.,"Heiden auf sandigen oder Silikat-Böden, Pionier- bis Altersphase"
40.03.02.,"Heiden auf sandigen oder Silikat-Böden, degeneriert mit Grasdominanz (z.B Deschampsia flexuosa)"
40.03.03.,"Heiden auf sandigen oder Silikat-Böden, degeneriert mit Gehölzaufkommen (Kiefer, Birke)"
40.04.,Lehmheide
40.05.,Bergheiden ('Hochheiden')
40.05.01.,Preiselbeer-Heidekraut-Heide
40.05.02.,Schneeheide-Heide
41.,"Feldgehölze, Gebüsche, Hecken und Gehölzkulturen"
41.01.,Gebüsche mit überwiegend autochthonen Arten
41.01.01.,Gebüsch nasser bis feuchter mineralischer Standorte außerhalb von Auen
41.01.02.,(Weiden-)Gebüsch in Auen
41.01.03.,Gebüsche nasser bis feuchter organischer Standorte
41.01.03.01.,"Moor-Gebüsch (z.B mit Weiden, Gagel)"
41.01.03.02.,Zwergbirken-Gebüsch
41.01.04.,Gebüsche frischer Standorte
41.01.04.01.,Besenginster-Gebüsch
41.01.04.02.,Sonstiges Gebüsch frischer Standorte
41.01.05.,Gebüsch trocken-warmer Standorte
41.01.05.01.,Buxus-Gebüsch
41.01.05.02	Wacholder-Gebüsch,41.01.05.02	Wacholder-Gebüsch
41.01.05.03.,Trockenes Zwerg- und Weichselkirschen-Gebüsch
41.01.05.04.,Besenginster-Gebüsch trocken-warmer Standorte
41.01.05.05.,Sonstiges Gebüsch trocken-warmer Standorte
41.01.06.,"Gebüsch stickstoffreicher, ruderaler Standorte"
41.02.,Feldgehölze mit überwiegend autochthonen Arten
41.02.01.,Feldgehölz nasser bis feuchter Standorte
41.02.02.,Feldgehölz frischer Standorte
41.02.03.,Feldgehölz trocken-warmer Standorte
41.03.,Hecken mit überwiegend autochthonen Arten
41.03.01.,"Wallhecke, Knick"
41.03.02.,Hecke auf Lesesteinriegel
41.03.03.,Hecken auf ebenerdigen Rainen oder Böschungen
41.03.03.01.,Hecke auf ebenerdigen Rainen oder Böschungen feuchter bis nasser Standorte
41.03.03.02.,Hecke auf ebenerdigen Rainen oder Böschungen frischer Standorte
41.03.03.03.,Hecke auf ebenerdigen Rainen oder Böschungen trocken-warmer Standorte
41.04.,"Gebüsche, Hecken und Feldgehölze aus überwiegend nicht autochthonen Arten"
41.04.01.,Flächige Gehölzanpflanzung oder spontan entstandene flächige Strauchbestände aus überwiegend nicht autochthonen Arten
41.04.02.,Hecke bzw lineare Gehölzanpflanzung aus überwiegend nicht autochthonen Arten
41.04.03.,Feldgehölze aus überwiegend nicht autochthonen Arten
41.05.,"Einzelbäume, Baumreihen und Baumgruppen"
41.05.01.,Laubbaum der offenen Landschaft (ohne Obst- und Nussbäume)
41.05.02.,Kopfbaum
41.05.03.,Nadelbaum der offenen Landschaft
41.05.04.,Allee bzw Baumreihe
41.05.05.,"Obstbaumallee, -reihe oder einzelner Obst- bzw Nussbaum"
41.05.06.,Altbaumbestand in Parks oder auf Friedhöfen
41.06.,Streuobstbestand [Komplex]
41.06.01.,Streuobstbestand auf Grünland
41.06.02.,Streuobstbestand auf Acker
41.07.,Gehölzplantagen und Hopfenkulturen
41.07.01.,Mittel- und Hochstammobstplantage
41.07.02.,Niederstammobstplantage
41.07.03.,Spalierobstkultur
41.07.04.,Fruchtstrauchkultur
41.07.05.,"Baumschule, Jungbaumkultur"
41.07.06.,Weihnachtsbaumkultur
41.07.07.,Hopfenkultur
41.08.,Rebkulturen und Rebbrachen
41.08.01.,Rebkulturen in Steillage
41.08.01.01.,Rebkultur in Steillage auf skelettreichem Boden
41.08.01.02.,Rebkultur in Steillage auf bindigem Boden
41.08.02.,Rebkulturen in ebener bis schwach geneigter Lage
41.08.02.01.,Rebkultur in ebener bis schwach geneigter Lage auf skelettreichem Boden
41.08.02.02.,Rebkultur in ebener bis schwach geneigter Lage auf bindigem Boden
41.08.03.,Rebbrachen in Steillage
41.08.03.01.,Rebbrache in Steillage auf skelettreichem Boden
41.08.03.02.,Rebbrache in Steillage auf bindigem Boden
41.08.04.,Rebbrachen in ebener bis schwach geneigter Lage
41.08.04.01.,Rebbrache in ebener bis schwach geneigter Lage auf skelettreichem Boden
41.08.04.02.,Rebbrache in ebener bis schwach geneigter Lage auf bindigem Boden
41.08.05.,Intensiv-Rebkulturen
41.09.,Gehölzanpflanzung auf stark schadstoffbelasteten Flächen
42.,"Waldmäntel und Vorwälder, spezielle Waldnutzungsformen"
42.01.,Waldmäntel
42.01.01.,Waldmantel nasser bis feuchter Standorte
42.01.02.,Waldmantel frischer Standorte
42.01.03.,Waldmantel trocken-warmer Standorte
42.01.04.,"Waldmantel stickstoffreicher, ruderaler Standorte"
42.02.,Rubus-Gestrüppe und -Vormäntel
42.02.01.,Brombeergestrüppe
42.02.01.01.,Brombeergestrüpp auf kalkarmem Untergrund
42.02.01.02.,Brombeergestrüpp auf kalkreichem Untergrund
42.02.02.,Kratzbeergestrüpp
42.02.03.,Himbeergestrüpp
42.03.,Vorwälder
42.03.01.,Vorwald nasser bis feuchter Standorte
42.03.02.,Vorwald frischer Standorte
42.03.03.,Vorwald trocken-warmer Standorte
42.04.,Hudewald [Komplex]
42.04.01.,Hudewald mit traditioneller Weidenutzung
42.04.02.,"Hudewald, aufgelassen"
42.05.,Niederwald [Komplex]
42.05.01.,Niederwald [Komplex] mit traditioneller Nutzung
42.05.02.,"Niederwald [Komplex], aufgelassen bzw durchwachsend"
42.06.,Kurzumtriebsplantagen mit nicht heimischen Baumarten
42.07.,Mittelwald [Komplex]
42.07.01.,Mittelwald [Komplex] mit traditioneller Nutzung
42.07.02.,"Mittelwald [Komplex], aufgelassen bzw durchwachsend"
43.,Laub(misch)wälder und -forste
43.01.,Birken-Moorwälder
43.01.01.,Birken-Moorwald mit intaktem Wasserhaushalt
43.01.02.,Degradierter Birken-Moorwald
43.02.,Bruchwälder
43.02.01.,Birken- und Birken-Erlenbruchwälder nährstoffärmerer Standorte
43.02.01.01.,Birken- und Birken-Erlenbruchwald nährstoffärmerer Standorte mit intaktem Wasserhaushalt
43.02.01.02.,Degradierter Birken- und Birken-Erlenbruchwald nährstoffärmerer Standorte
43.02.02.,Erlenbruchwälder nährstoffreicherer Standorte
43.02.02.01.,Erlenbruchwald mit intaktem Wasserhaushalt
43.02.02.02.,Degradierter Erlenbruchwald
43.03.,Sumpfwälder (auf mineralogenen Böden)
43.03.01.,Intakter Sumpfwald
43.03.02.,Degradierter Sumpfwald
43.04.,Auenwälder
43.04.01.,Fließgewässerbegleitende Erlen- und Eschenwälder
43.04.01.01.,Grauerlenauenwald
43.04.01.02.,Eschenwald (an Fließgewässern)
43.04.01.03.,Schwarzerlenwald (an Fließgewässern)
43.04.02.,Weichholzauenwälder
43.04.02.01.,Weichholzauenwald mit natürlicher oder naturnaher Überflutungsdynamik
43.04.02.02.,Weichholzauenwald ohne oder mit gestörter Überflutungsdynamik
43.04.03.,Hartholzauenwälder
43.04.03.01.,Hartholzauenwald mit natürlicher oder naturnaher Überflutungsdynamik (inkl Qualmwasserdynamik)
43.04.03.02.,Hartholzauenwald ohne oder mit gestörter Überflutungsdynamik
43.05.,Tideauenwälder
43.05.01.,Weichholz-Tideauenwald
43.05.02.,Hartholz-Tideauenwald
43.06.,"Schlucht-, Blockhalden- und Hangschuttwälder"
43.06.01.,Eschen-Ahorn-Schluchtwald bzw -Hangwald (feucht-kühle Standorte)
43.06.02.,Linden-Hangschuttwald
43.06.03.,Ulmen- und Ulmen-Hainbuchen-Hangwald (trockener bis frischer Standorte)
43.06.04.,Birken-Blockwald mit unterschiedlicher Bodenfeuchte
43.07.,Laub- und Mischwälder feuchter bis frischer Standorte
43.07.01.,Eschen- und Eschen-Bergahornwald feuchter Standorte
43.07.02.,Eichen-Hainbuchenwald staunasser bis frischer Standorte
43.07.03.,Eichenwald feuchter bis frischer Standorte
43.07.03.01.,Birken-Eichenwald feuchter Standorte
43.07.03.02.,Eichenwald frischer Standorte
43.07.04.,"Buchen(misch)wälder frischer, basenarmer Standorte"
43.07.04.01.,"Eichen-Buchenwald frischer, basenarmer Standorte"
43.07.04.02.,Bodensaurer Buchenwald der planaren bis submontanen Stufe
43.07.04.03.,Bodensaurer Buchenwald der montanen bis hochmontanen Stufe
43.07.05.,"Buchen(misch)wälder frischer, basenreicher Standorte"
43.07.05.01.,Buchenwald basenreicher Standorte der planaren bis submontanen Stufe
43.07.05.02.,Buchenwald basenreicher Standorte der montanen bis hochmontanen Stufe
43.07.06.,Montane Buchen-Tannen-/Fichtenwälder (Buchenanteil > 50 %)
43.07.06.01.,Montane Buchen-Tannenwälder (Buchenanteil > 50 %)
43.07.06.01.01.,Montaner Buchen-Tannenwald basenarmer Standorte
43.07.06.01.02.,Montaner Buchen-Tannenwald basenreicher Standorte
43.07.06.02.,Montane Buchen-Tannen-Fichtenwälder (Buchenanteil > 50 %)
43.07.06.02.01.,Montaner Buchen-Tannen-Fichtenwald basenarmer Standorte
43.07.06.02.02.,Montaner Buchen-Tannen-Fichtenwald basenreicher Standorte
43.08.,Laub(misch)wälder trockener bzw trocken-warmer Standorte
43.08.01.,Trockene Eichen-Hainbuchenwälder
43.08.01.01.,Traubeneichen-Hainbuchenwald
43.08.01.02.,Subkontinentaler Eichen-Hainbuchenwald
43.08.01.03.,Weißseggen-Eichen-Winterlindenwald
43.08.02.,Seggen-Buchenwald (Orchideen-Buchenwald)
43.08.03.,Blaugras-Buchenwald
43.08.04.,Buchenbuschwald (auf Ostseedünen)
43.08.05.,Eichen-Trockenwälder
43.08.05.01.,Eichen-Trockenwald basenarmer Standorte
43.08.05.02.,Eichen-Trockenwald basenreicher Standorte
43.08.05.03.,Birken-Stieleichen-Trockenwald auf Sand
43.09.,Laub(misch)holzforste einheimischer Baumarten
43.09.01.,Laub(misch)holzforst feuchter Standorte mit einheimischen Baumarten
43.09.02.,Laub(misch)holzforst frischer Standorte mit einheimischen Baumarten
43.09.03.,Laub(misch)holzforst trocken-warmer Standorte mit einheimischen Baumarten
43.10.,Laub(misch)holzforste eingeführter Baumarten
43.10.01.,Laub(misch)holzforst feuchter Standorte mit eingeführten Baumarten
43.10.02.,Laub(misch)holzforst frischer Standorte mit eingeführten Baumarten
43.10.03.,Laub(misch)holzforst trocken-warmer Standorte mit eingeführten Baumarten
44.,Nadel(misch)wälder und -forste
44.01.,Moorwälder (Nadelwälder)
44.01.01.,Fichten-Moorwälder
44.01.01.01.,Fichten-Moorwald mit intaktem Wasserhaushalt
44.01.01.02.,Degradierter Fichten-Moorwald
44.01.02.,Waldkiefern-Moorwälder
44.01.02.01.,Waldkiefern-Moorwald mit intaktem Wasserhaushalt
44.01.02.02.,Degradierter Waldkiefern-Moorwald
44.01.03.,Spirken-Moorwälder
44.01.03.01.,Spirken-Moorwald mit intaktem Wasserhaushalt
44.01.03.02.,Degradierter Spirken-Moorwald
44.01.04.,Latschen-Moorwälder
44.01.04.01.,Latschen-Moorwald mit intaktem Wasserhaushalt
44.01.04.02.,Degradierter Latschen-Moorwald
44.02.,"Natürliche bzw naturnahe, trockene bis wechselfeuchte Kiefernwälder"
44.02.01.,Trockene Fels-Kiefernwälder
44.02.01.01.,Trockener Fels-Kiefernwald basenarmer Standorte
44.02.01.02.,Trockener Fels-Kiefernwald basenreicher Standorte
44.02.02.,Kalk-Kiefernwald auf Schotterflächen und Schwemmkegeln
44.02.03.,Trockene Sand-Kiefernwälder
44.02.03.01.,Trockener Sand-Kiefernwald basenarmer Standorte
44.02.03.02.,Trockener Sand-Kiefernwald basenreicher Standorte
44.02.04.,Sonstiger (wechsel)feuchter Kiefern- bzw Birken-/Kiefernwald (z.B auf Mergel)
44.03.,Fichten-/Tannen(misch)wälder und Fichten(misch)wälder
44.03.01.,Montaner Fichten-Blockschuttwald
44.03.02.,Montane bis hochmontane Fichtenwälder
44.03.02.01.,Montaner bis hochmontaner Fichtenwald basenarmer Standorte
44.03.02.02.,Montaner bis hochmontaner Fichtenwald basenreicher Standorte
44.03.03.,Montane Tannen-Fichtenwälder
44.03.03.01.,Krautreicher montaner Tannen-Fichtenwald
44.03.03.02.,Zwergstrauchreicher montaner Tannen-Fichtenwald
44.03.04.,Montane Tannen-/Fichten-Buchenwälder (Nadelbaumanteil > 50 %)
44.03.04.01.,Montaner Tannen-Buchenwald (Nadelbaumanteil > 50 %)
44.03.04.02.,Montaner Tannen-Fichten-Buchenwald (Nadelbaumanteil > 50 %)
44.03.05.,Montane Tannenwälder
44.03.06.,Autochthone Fichten-Tannenwälder der planaren und collinen Stufe
44.04.,Nadel(misch)forste heimischer Baumarten
44.04.01.,Fichtenforste
44.04.01.01.,Fichtenforst feuchter Standorte
44.04.01.02.,Fichtenforst frischer Standorte
44.04.01.03.,Fichtenforst trockener Standorte
44.04.02.,Tannen-Fichtenforste
44.04.02.01.,Tannen-Fichtenforst feuchter Standorte
44.04.02.02.,Tannen-Fichtenforst frischer Standorte
44.04.02.03.,Tannen-Fichtenforst trockener Standorte
44.04.03.,Kiefernforste
44.04.03.01.,Kiefernforst (wechsel-)feuchter Standorte (z.B mit Molinia caerulea)
44.04.03.02.,Kiefernforst frischer Standorte
44.04.03.03.,Kiefernforst trockener Standorte
44.04.04.,Lärchenforst
44.05.,Nadel(misch)forste eingeführter Baumarten
44.05.01.,Nadel(misch)forst feuchter Standorte mit eingeführten Baumarten
44.05.02.,Nadel(misch)forst frischer Standorte mit eingeführten Baumarten
44.05.03.,Nadel(misch)forst trocken-warmer Standorte mit eingeführten Baumarten
51.,"Kleine, befestigte Freiflächen des besiedelten Bereichs"
51.01.,"Kleine, vegetationsfreie Freifläche"
51.02.,Kleine Freiflächen mit Spontanvegetation
51.02.01.,Kleine Freifläche mit dörflicher Ruderalvegetation
51.02.02.,Sonstige kleine Freifläche mit sonstiger Ruderalvegetation
51.03.,Anpflanzungen und Rabatten
51.03.01.,Anpflanzung von einjährigen Arten
51.03.02.,Anpflanzung von sommergrünen Stauden
51.03.03.,Anpflanzung von immergrünen Bodendeckern
51.03.04.,Anpflanzung von Zwerg- und Kleinsträuchern
51.03.05.,Mobiles Grün (z.B Pflanzkübel)
52.,Verkehrsanlagen und -plätze
52.01.,Straßen
52.01.01.,"Versiegelte, zwei- bis mehrspurige Straße, Autobahn, Rollfeld"
52.01.02.,"Versiegelte, einspurige Straße (auch gepflasterte Straße)"
52.01.03.,"Teilbefestigte, einspurige Straße (z.B mit Spurplatten)"
52.01.04.,"Geschotterte, einspurige Straße"
52.01.05.,Straße mit wassergebundener Decke
52.01.06.,Unbefestigte Straße/Feld- und Forstweg
52.02.,Rad- und Fußwege bzw Pfade
52.02.01.,Versiegelter Weg
52.02.02.,Gepflasterter Weg (Pflasterung ohne Fugenversiegelung)
52.02.03.,"Teilbefestigter Weg (z.B Rasengitter, Spurplatten)"
52.02.04.,Geschotterter Weg
52.02.05.,Weg mit wassergebundener Decke
52.02.06.,Unbefestigter Weg
52.02.07.,Hohlweg [Komplex]
52.03.,"Plätze, befestigte Freiflächen"
52.03.01.,Versiegelter Platz
52.03.02.,Teilbefestigter Platz (z.B Rasengitter)
52.03.03.,Platz mit geschottertem Belag
52.03.04.,Platz mit wassergebundener Decke (z.B Aschensportplatz)
52.04.,Übrige Verkehrsanlagen
52.04.01.,Gleiskörper
52.04.01.01.,Ruderalisierter Gleiskörper
52.04.01.02.,Sonstiger Gleiskörper
52.04.02.,"Hafenanlage, Kai"
52.04.03.,Sonstige Verkehrsanlagen
53.,Bauwerke
53.01.,Gebäude
53.01.01.,Burg-/Schlossgebäude
53.01.01.01.,"Burg-/Schlossgebäude, verfallen (ungenutzt)"
53.01.01.02.,"Burg-/Schlossgebäude, alt bzw traditionelle Bauweise (genutzt)"
53.01.01.03.,"Burg-/Schlossgebäude, moderne Bauweise"
53.01.02.,Kirchen und Kapellen
53.01.02.01.,"Kirche oder Kapelle, verfallen (ungenutzt)"
53.01.02.02.,"Kirche oder Kapelle, alt bzw traditionelle Bauweise"
53.01.02.03.,"Kirche oder Kapelle, moderne Bauweise"
53.01.03.,"Einzel-/Reihenhäuser, ein- bis zweistöckig"
53.01.03.01.,"Einzel-/Reihenhaus, ein- bis zweistöckig, verfallen (ungenutzt)"
53.01.03.02.,"Einzel-/Reihenhaus, ein- bis zweistöckig, alt bzw traditionelle Bauweise (genutzt)"
53.01.03.03.,"Einzel-/Reihenhaus, ein- bis zweistöckig, moderne Bauweise"
53.01.04.,Drei- bis sechsgeschossige Häuser
53.01.04.01.,"Drei- bis sechsgeschossiges Haus, verfallen (ungenutzt)"
53.01.04.02.,"Drei- bis sechsgeschossiges Haus, alt bzw traditionelle Bauweise (genutzt)"
53.01.04.03.,"Drei- bis sechsgeschossiges Haus, moderne Bauweise"
53.01.05.,Hochhäuser (mehr als sechsgeschossig)
53.01.05.01.,"Hochhaus, verfallen (ungenutzt)"
53.01.05.02.,Hochhaus (genutzt)
53.01.06.,Ausgedehnte Flächenbauten
53.01.07.,Stallungen
53.01.07.01.,"Stall, verfallen (ungenutzt)"
53.01.07.02.,"Stall, alt bzw traditionelle Bauweise (genutzt)"
53.01.07.03.,"Stall, moderne Bauweise"
53.01.08.,Scheunen und Speichergebäude
53.01.08.01.,"Scheune oder Speichergebäude, verfallen (ungenutzt)"
53.01.08.02.,"Scheune oder Speichergebäude, alt bzw traditionelle Bauweise (genutzt)"
53.01.08.03.,"Scheune oder Speichergebäude, moderne Bauweise"
53.01.08.04.,Siloanlage
53.01.09.,Gewächshaus
53.01.10.,Bootshaus (im Wasser stehend)
53.01.11.,"Kleingebäude, Schuppen"
53.01.12.,Fabrikgebäude
53.01.12.01.,"Fabrikgebäude, verfallen (ungenutzt)"
53.01.12.02.,"Fabrikgebäude, alt bzw traditionelle Bauweise (genutzt)"
53.01.12.03.,"Fabrikgebäude, moderne Bauweise53.01.13 Lager und Depotgebäude"
53.01.13.01.,"Lager oder Depotgebäude, verfallen (ungenutzt)"
53.01.13.02.,"Lager oder Depotgebäude, alt bzw traditionelle Bauweise (genutzt)"
53.01.13.03.,"Lager oder Depotgebäude, moderne Bauweise"
53.01.14.,Industrieanlagen
53.01.14.01.,"Industrieanlage, verfallen (ungenutzt)"
53.01.14.02.,"Industrieanlage, traditionelle Bauweise"
53.01.14.03.,"Industrieanlage, moderne Bauweise"
53.02.,Mauern
53.02.01.,Ziegelsteinmauern
53.02.01.01.,"Ziegelsteinmauer, alt bzw traditionelle Bauweise"
53.02.01.02.,"Ziegelsteinmauer, moderne Bauweise"
53.02.02.,Betonmauer
54.,Deponien und Rieselfelder
54.01.,Feststoffdeponien
54.01.01.,Kompostierfläche
54.01.02.,Hausmülldeponie
54.01.03.,Bauschuttdeponie
54.01.04.,Sonder- und Industriemülldeponie
54.02.,Deponien flüssiger Stoffe
54.02.01.,Gülledeponie
54.02.02.,Asche-Spül-Deponie
54.02.03.,Schlammdeponie
54.03.,Rieselfelder [Komplex]
54.04.,Kanalisation
60.,Gewässer der subalpinen bis alpinen Stufe
60.01.,Quellen der subalpinen bis alpinen Stufe
60.01.01.,Sicker- und Sumpfquelle der subalpinen bis alpinen Stufe (Helokrene)
60.01.02.,Grundquelle der subalpinen bis alpinen Stufe (Limnokrene)
60.01.03.,Sturzquelle der subalpinen bis alpinen Stufe (Rheokrene)
60.02.,Fließgewässer der subalpinen bis alpinen Stufe
60.02.01.,Gletscherbach
60.02.02.,Fließgewässeroberlauf (Rhithral) der subalpinen bis alpinen Stufe
60.03.,Stillgewässer der subalpinen bis alpinen Stufe
60.03.01.,See der subalpinen bis alpinen Stufe
60.03.02.,Weiher der subalpinen bis alpinen Stufe
60.03.03.,Tümpel der subalpinen bis alpinen Stufe
61.,"Firn, permanente Schneefelder und Gletscher"
61.01.,Firn und permanentes Schneefeld
61.02.,Gletscher
62.,Felsen der subalpinen bis nivalen Stufe
62.01.,Felswände der subalpinen bis nivalen Stufe
62.01.01.,Felswand der subalpinen bis nivalen Stufe aus Karbonatgestein
62.01.02.,Felswand der subalpinen bis nivalen Stufe aus silikatisch verwitterndem Gestein
62.02.,Felsblöcke der subalpinen bis nivalen Stufe
62.02.01.,Felsblöcke der subalpinen bis nivalen Stufe aus Karbonatgestein
62.02.02.,Felsblöcke der subalpinen bis nivalen Stufe aus silikatisch verwitterndem Gestein
63.,Steinschutthalden und Schotterflächen der subalpinen bis alpinen Stufe
63.01.,Schotterfläche an Gewässern der subalpinen bis alpinen Stufe
63.02.,Kalkschutthalde der subalpinen bis alpinen Stufe
63.03.,Mergelschutthalde der subalpinen bis alpinen Stufe
63.04.,Silikatschutthalde der subalpinen bis alpinen Stufe
64.,"Schneeböden, Schneetälchen"
64.01.,Kalkschneeboden
64.02.,Schwemmboden der subalpinen bis alpinen Stufe
64.03.,Silikatschneeboden
65.,Moore der subalpinen bis alpinen Stufe
65.01.,Hoch- und Übergangsmoor der subalpinen bis alpinen Stufe
65.02.,Flachmoor oder Sumpf der subalpinen bis alpinen Stufe
66.,Gebirgsrasen der subalpinen bis alpinen Stufe
66.01.,Nacktriedrasen
66.02.,Polsterseggenrasen
66.03.,Borstgrasrasen der subalpinen bis alpinen Stufe
66.04.,Blaugrashalde bzw -rasen
66.05.,Rostseggenrasen
66.06.,Alpenfettweide
66.07.,Goldhaferwiese der Kalkalpen
66.08.,Subalpiner Trittrasen
66.09.,Krummseggenrasen
67.,Stauden und Lägerfluren der hochmontanen bis alpinen Stufe
67.01.,Hochstauden- und Hochgrasflur der hochmontanen bis alpinen Stufe
67.02.,Lägerfluren der subalpinen bis alpinen Stufe
67.02.01.,Alpenampfer-Lägerflur
67.02.02.,Alpenkratzdistel-Lägerflur
67.02.03.,Alpengreiskraut-Lägerflur
68.,Zwergstrauchheiden der subalpinen bis slpinen Stufe
68.01.,Alpine 'Windheide' (z.B mit Gamsheide)
68.02.,Krähenbeer-Rauschbeerheide und Zwergwacholdergebüsche
69.,Gebüsche der hochmontanen bis subalpinen Stufe
69.01.,Auenweidengebüsche der hochmontanen bis subalpinen Stufe
69.01.01.,Auenweidengebüsch der hochmontanen bis subalpinen Stufe mit Myricaria germanica
69.01.02.,Auengebüsch der hochmontanen bis subalpinen Stufe mit Salix eleagnos
69.02.,Grünerlengebüsche
69.02.01.,Grünerlengebüsch an subalpinen Fließgewässern
69.02.02.,Sonstiges Grünerlengebüsch
69.03.,Schluchtweidengebüsch
69.04.,Latschengebüsch
69.05.,Alpenrosengebüsch
69.06.,Fichten-Ebereschengebüsch
69.07.,Knieweidengebüsch
70.,Subalpine Wälder
70.01.,Subalpiner (hochmontaner) Bergahorn-Buchenwald
70.02.,Subalpiner Fichtenwald
70.03.,Subalpiner Lärchen-Arvenwald
70.04.,Subalpiner Lärchenwald
